,Topic,Count,Name,Representation,Representative_Docs
162,161,39,161_stud_herbert_archie_bunker,"['stud', 'herbert', 'archie', 'bunker', '14u', 'wishfully', 'ycrq3tvnoo', 'fullback', 'tonywrld999', 'rickwilson']","['Herbert looking like a stud out there , pause', 'Justin Herbert is a stud', 'Herbert is such a stud 🎯']"
163,162,39,162_equality_she_trailblazer_rbg,"['equality', 'she', 'trailblazer', 'rbg', 'elle', 'frenzy', 'her', 'une', 'stood', 'fought']","['Heureusement qu’elle paie l’addition aussi Parceque c’est une femme forte . Toujours obligé de dévaloriser la femme… https://t.co/iVQIRQW7CI', '@nprpolitics A champion for equality always.  A trailblazer, an icon. She fought the good fight. Rest In Peace RBG💔', '@libe Une femme courageuse. Elle voulait tout simplement apprendre, et on l’avait considéré une menace. Elle n’a pa… https://t.co/003jt1zrBz']"
164,163,39,163_tea_lemonade_iced_mint,"['tea', 'lemonade', 'iced', 'mint', 'coffee', 'fruity', 'starbucks', 'watermelon', 'spiced', 'green']","['I just wanna say that I love whoever made my peach black tea lemonade today at Starbucks🥰 best tea I’ve had in a loooooooong time.', 'I was today years old when I learned that green tea and black tea come from the same plant but black tea is just more oxidized🤯😅', '@owlzz_ Milk Tea, Thai Tea, Green Tea and fruity smoothies with Boba 🤤🤤']"
165,164,38,164_ii_slayer_lilo_vampire,"['ii', 'slayer', 'lilo', 'vampire', 'scooby', 'stitch', 'doo', 'clover', 'jamescullenb', 'vampires']","['@FilmInquiry no idea which was first but it’s between lilo &amp; stitch, scooby-doo, men in black ii, and star wars II:… https://t.co/H9vCVwc96D', '@JamesCullenB no idea which one was first but it’s between lilo &amp; stitch, scooby-doo, men in black ii, and star war… https://t.co/aso2fk7c4a', '@JamesCullenB no idea which was first but it’s between lilo &amp; stitch, scooby-doo, men in black ii, and star wars II… https://t.co/LgykeJPe2i']"
166,165,38,165_movement_lives_matter_disrespec,"['movement', 'lives', 'matter', 'disrespec', 'legislation', 'nurse', 'cared', 'fighting', 'meganfox', 'pibh2fjjsk']","['If you don’t respect the black lives matter movement then we are not friends, and I mean that in the most disrespec… https://t.co/SP1AtKUF4N', 'If you don’t respect the black lives matter movement then we are not friends, and I mean that in the most disrespec… https://t.co/cqeijFydhM', 'if you don’t support the black lives matter movement, you’re not my friend and i don’t like you... please be offended']"
167,166,38,166_aprons_jk_drip_tapitio,"['aprons', 'jk', 'drip', 'tapitio', 'kachina', 'fernet', 'backside', 'aniseeeeeee', 'divineyouforia', 'elizedoesit']","['went from green aprons to black aprons again....i feel rich🙈🥰', 'went from black aprons to green aprons.....i feel poor 😞 HAHAHAHAHAHAHA JK', 'went from black aprons to green aprons.....i feel poor😞 HAHAHAHAHAHA JK']"
168,167,38,167_moved_neighborhood_denver_live,"['moved', 'neighborhood', 'denver', 'live', 'orange', 'strange', 'move', 'surrounded', 'in2011', '0yzrctyrab']","['Moved into a neighborhood where I’m the only black guy... I outgrew that condo...', '@c_mixed I use to live there.  I moved away in2011. I was the only black guy there with an electric skateboard.', 'when I first moved here, I lived in the Echo Park/Silver Lake area.\n\nI felt like the only black guy in a city occup… https://t.co/UwKkIDZYPP']"
169,168,38,168_institutionalized_racism_institutional_institutions,"['institutionalized', 'racism', 'institutional', 'institutions', 'systemic', 'diseases', 'segregation', 'editors', 'classism', 'careers']","['What is essential is that we study the institutionalized nature of racism, how racism is imbedded in processes that… https://t.co/ErrFeGYwnc', '@davidevelasqu Please stay strong and continue to pursue your dreams. Institutionalized racism can hurt careers or… https://t.co/ThSzKOYSzB', '@TonyFantano Welp, racism is institutionalized through education. Racism is  institutionalized through economics.… https://t.co/RCvoUEdDR6']"
170,169,38,169_justiceforgeorgefloyd_simivalley_peaceful_church,"['justiceforgeorgefloyd', 'simivalley', 'peaceful', 'church', 'justiceforbreonnataylor', 'baptist', 'justiceforahmaud', 'blacklivesmatter', 'bridie', 'marching']","['Peaceful protest in #SimiValley \n\n#BlackLivesMatter \n#JusticeForAhmaud #JusticeforBreonnaTaylor… https://t.co/sUKUlw8P4v', 'Peaceful protest in #SimiValley \n\n#BlackLivesMatter \n#JusticeForAhmaud #JusticeforBreonnaTaylor… https://t.co/N756pBKuqO', 'Peaceful protest in #SimiValley \n#JusticeForAhmaud #JusticeforBreonnaTaylor #justiceforgeorgefloyd https://t.co/Ouk6aHTQVQ']"
171,170,38,170_tear_gas_bullets_rubber,"['tear', 'gas', 'bullets', 'rubber', 'peaceful', 'protesters', 'teargas', 'phalanx', 'protestors', 'riot']","['He literally had police officers tear gas and shoot protesters outside of this church JUST FOR A PHOTO OP.', 'After his way thru peaceful protesters was cleared w/ tear gas, rubber bullets &amp; a phalanx of police in riot gear!… https://t.co/OtHXtUgk2H', 'Trump had police fire tear gas and rubber bullets at peaceful protestors to clear the streets for a photo op bc he… https://t.co/Gi2xWfF81K']"
172,171,38,171_nazi_she_sympathizer_reich,"['nazi', 'she', 'sympathizer', 'reich', 'germany', 'bm0sz04fds', 'lucyintheskybox', 'zdl8obb9qe', 'ladyrocksavage', 'la_octransplant']","['She just said the sound of music is a nazi sympathizer movie', 'How did she did nazi that coming?', 'How did she nazi that coming?']"
173,172,38,172_sissy_femboy_sissygoals_sissybimbo,"['sissy', 'femboy', 'sissygoals', 'sissybimbo', 'sissybois', 'sissyhusband', 'mmmmm', 'deeper', 'du', 'hello']","['@mias_puppy__  hello goddess I’m a DL sissy boy who wants to serve you my gf has no clue I’m a sissy boy il@be usin… https://t.co/Bizu56dECt', 'Never needed any officiating to call you sissy my sissy. It always just was, as it always will be. Twas a beautiful… https://t.co/8czSV6BN0L', 'Mmmmm yes💋💗🦄🌈👄♠️♠️\n.\n#sissycuck #sissyhusband #SissyBimbo #sissycrossdresser #sissyslutfaggot #sissy #femboy… https://t.co/0y96GrSxAl']"
174,173,38,173_gop_republicans_republican_racism,"['gop', 'republicans', 'republican', 'racism', 'pillar', 'democrats', 'platform', 'wn1ua7urby', 'vgpw7sc46a', 'vhoyhuiwku']","['Bunker boy is a racist and racism is the #1 pillar of the new GOP platform, so this is not surprising. What is surp… https://t.co/XrrbyI3F2u', '@Caerage @realDonaldTrump @GOP It’s not disguised in the least, the @GOP is the party of racism and with… https://t.co/H2SkXc0TQo', 'It is the second pillar of the new @gop platform, following racism and preceding hypocrisy']"
175,174,38,174_privilege_whiteprivilege_coachdaydream_white,"['privilege', 'whiteprivilege', 'coachdaydream', 'white', '99deu0vb6u', 'edayphotos', 'calvinstarnesog', 'bethdaydream', 'marklamster', 'dcl_60']","['white privilege', 'White privilege', 'White privilege']"
176,175,37,175_california_angeles_los_paz,"['california', 'angeles', 'los', 'paz', 'equality', 'peace', 'civilrights', 'noalracismo', 'freedom', 'igualdad']","['Si no hay justicia no hay paz #noalracismo  #love #paz en Los Angeles, California https://t.co/F0tVZLKxJT', '#paz#noalracismo #icantbreathe #life#justiceforgeorgefloyd #pace#igualdad #respect en Downey, California https://t.co/Gh2lOT1iWS', '#paz#noalracismo #icantbreathe #life#justiceforgeorgefloyd #pace#igualdad #respect en Downey, California https://t.co/2pDWSv7xvv']"
177,176,37,176_criminal_major_degree_majoring,"['criminal', 'major', 'degree', 'majoring', 'justice', 'class', 'arianadanielle12', 'bachelor', 'pulte', 'exam']","['@pulte im an 18 yr old college student majoring in criminal justice full time with two jobs $arianadanielle12', '&amp; he’s a criminal justice major / psych minor ..........', 'Dude is a criminal justice major. I’m sick 🤢']"
178,177,37,177_credit_loans_loan_score,"['credit', 'loans', 'loan', 'score', 'sba', 'bank', 'ppp', 'scores', 'flo', 'card']","['This nigga credit score is a “17” 😭🤦🏾\u200d♂️. How is that even possible? 👀🤷🏾\u200d♂️😭', 'real nigga credit don’t work at the bank', 'that real nigga credit don’t work at the bank']"
179,178,37,178_sirens_music_radiohead_songs,"['sirens', 'music', 'radiohead', 'songs', 'loud', 'playing', 'bumpin', 'neighbors', 'blasting', 'clum']","['UPDATE: I heard police sirens so I think they’re party got shut down 💀 I don’t hear music anymore', ""If you put police sirens in your music you're an asshole..."", 'I know I have my music WAY too loud when I can’t even hear the police sirens']"
180,179,37,179_hollywood_cannonhinnant_jollet_moviemaking,"['hollywood', 'cannonhinnant', 'jollet', 'moviemaking', 'hollywoodhealers', 'mikel', 'zn2w59aqzo', 'mcsquared34', 'kapualoha', 'karenkarlitz']","['BLM HOLLYWOOD 15K  #repost • @fraudfix Hollywood came through today ✊🏽✊🏽\nJune 7, 2020. #hollywood #blm #protest… https://t.co/YHE1G4RjIV', 'Wow...\nHollywood has come a long way!!!\nThank You God 🙏🏻\n#danielhoffagency #hollywood #blacklivesmatter @ Hollywood… https://t.co/6dR8ipKe8w', 'HOLLYWOOD STRONG 🖤 #hollywood #hollywoodprotest #blacklivesmatter #lbgtq #love #unity #nojusticenopeace @ Hollywood… https://t.co/yWx829e6G3']"
181,180,37,180_pain_temporary_pride_flop,"['pain', 'temporary', 'pride', 'flop', 'hidden', 'button', 'lllyey7wax', 'hmsagy0yt6', '3xfemmpprp', 'vs8updfxsz']","['“Pain is temporary, pride is forever.”', 'I walk outside with all this pride cause I can’t stand the pain.', 'Pain is forever, pride is temporary \n🤩💪🏋️']"
182,181,37,181_friday_fifty_holiday_zqvciqccmj,"['friday', 'fifty', 'holiday', 'zqvciqccmj', 'payday', '254zov4re1', 'yvpexsxyrj', '7hnmx8kjr6', '5flrehcg6x', 'my8afexazp']","['first year not working black friday 🥰', 'black friday did me good', 'black friday should be called great friday']"
183,182,37,182_screen_screens_posting_post,"['screen', 'screens', 'posting', 'post', 'hashtags', 'counterintuitive', 'algorithms', 'button', 'zrkix8bu5w', 'boudoirmadam']","['i’m sorry but those black screens are ridiculous', 'Mfs gon post black screens on twitter and say “nobody talk to me today”', 'i’m about to unfollow all u bitches posting a black screen idc']"
184,183,36,183_beach_long_blacklivesmatter_newport,"['beach', 'long', 'blacklivesmatter', 'newport', 'protest', 'longbeachprotest', 'silence', 'peaceful', 'black_lives_matter', 'manhattan']","['Anyone know when tomorrow’s Long Beach protests are happening?\n#LongBeachProtest #BlackLivesMatter #NoJusticeNoPeace #LongBeach', 'To all those attending the Long Beach protest, be safe, and stay peaceful. #blacklivesmatter', 'There will be a protest tomorrow in Long Beach! No justice no peace!  #BlackLivesMatter']"
185,184,36,184_rioters_rioting_riots_portland,"['rioters', 'rioting', 'riots', 'portland', 'riot', 'looting', 'arrest', 'knocking', 'maga', 'rush']","['How with the a bunch of police around does the Portland now rioters so-called protesters mugs and thugs make a.m. w… https://t.co/trnjRwvzA3', '@tedcruz @Sethrogen MAGA rioters murdered a police officer. Did you help organize the riot?', '🇺🇲 Portland police rush pantifa rioters knocking some of them to the ground. 🇺🇲 https://t.co/SYfodF56MX']"
186,185,36,185_catholics_catholic_religious_christian,"['catholics', 'catholic', 'religious', 'christian', 'catholicism', 'religions', 'religion', 'sect', 'priest', 'beliefs']","['@now_catholic @menny_thoughts Great history of black Catholics.  People tend to have an inflated number of Irish ha… https://t.co/XQyQvt99GQ', 'The same ultra conservative Catholics that continue to deny women equality in the church? Ultra conservatives are a… https://t.co/Lfwq5y0m6Y', 'I saw a priest and catholics protesting abortion, it is between the woman the guy and God. Why do they protest sayi… https://t.co/cneKJPtyvb']"
187,186,35,186_compare_opps_aint_these,"['compare', 'opps', 'aint', 'these', '0b3mb1tbdk', 'guceilpxby', 'lgtpguhzbl', '3lntzw6o8l', 'hql', 'ceobigrisky']","['If it’s not Mel, Dru or Jurnee keep these weird niggas away from me on gawd I didn’t get this HQL for my health', 'Dont compare me to these niggas they aint nothing like me', 'Dont Compare me to these niggas they aint nothing like me']"
188,187,35,187_protests_goal_decade_c1w2d3,"['protests', 'goal', 'decade', 'c1w2d3', 'luziatschirky', 'erinnyc75', 'gugqyq7hu9', 'debased', 'noshwithme', 'davidteeperkins']","['@Aardvark_Sco @LizzyFlora @DavidTeePerkins @mrainie24 @BlacheDevereaux @nickwiger Yep, the protests are outside, fa… https://t.co/YfdJ9C5ac9', '@blickipedia @LuziaTschirky @haveaswissday @LaffranchiLA @discoverLA Touché‘ indeed. I just recall many protests in… https://t.co/MR4bWN0HCS', '@MinPres with all respect maar waarom krijgen de #blm demonstranten wel uw aandacht en worden zij op #catshuis uitg… https://t.co/SS3UcMmjXi']"
189,188,35,188_tired_fatigue_brothers_sisters,"['tired', 'fatigue', 'brothers', 'sisters', '08nyyjevcp', 'wxfwht6mec', '0l9gaqcw9c', 'a8inbq4r3f', '538uxg4eyt', 'zkmhclkhi0']","['It’s okay to be tired. Yesterday was overwhelming for some, myself included. But black folks have been tired for ye… https://t.co/c1o9SinGQD', 'As a black man, I’m tired. That’s all I can say.', 'Anytime is a good time to remind people I was tired at 18 as a black man/American. (Shit, to be honest, the fatigue… https://t.co/zKMHClKHi0']"
190,189,35,189_fkn_0ryx34b4gv_aqadv3trpk_xrvusy5tun,"['fkn', '0ryx34b4gv', 'aqadv3trpk', 'xrvusy5tun', '8yisivjtz4', 'sleeeep', 'ncsfrhm9la', 'rpewroe2mz', 'bck8gykrck', 'bdmpthfahg']","['get this being the bigger person is yu unsharing my location but keeping another niggas because i said so, ignorant… https://t.co/8YISIVjTZ4', 'I’m not expecting no nigga to come Lambo for me bc ain’t no nigga I’m fw on that level yet. Y’all b wanting too muc… https://t.co/AubHjZYTkh', ""I was getting the shit when a nigga needed it . I mean yeah you can say I'm not that hu$tla I'm more of an observer… https://t.co/NmYmJ8SsIq""]"
191,190,35,190_health_medical_hospitalizations_protest,"['health', 'medical', 'hospitalizations', 'protest', 'rot', 'patients', 'risking', 'lyme', 'p6s794on0f', 'highriskcovid19']","['And as @AliciamoMD put it: medical providers—when people who have exercised a constitutional right to protest come… https://t.co/JD2ljXj9FM', 'if you protest or ignore social distancing you dont deserve medical care if you contract covid idc go rot on the beach', '@cher I understand but you must protect your health! I’m 66 w hx of Lyme and pneumonia-went to small protest yester… https://t.co/yOGdu2XhhB']"
192,191,35,191_test_tested_neg_tests,"['test', 'tested', 'neg', 'tests', 'covid', 'testing', 'pos', 'testin', 'study', 'jaefrmjerz']","['Lol that’s because niggas are NOT going to get tested anymore 😂😂🥴', 'rudolph seems like the type to test positive for covid and then tell everyone he tested neg just because he’s asymptomatic', 'Man was worried about moms neg test then pos test then they said it was really neg test wtf is goin on']"
193,192,35,192_racism_oppression_3eelqcgx3v_oneeqltlk3,"['racism', 'oppression', '3eelqcgx3v', 'oneeqltlk3', 'rshiuer3zm', 'obsesses', 'tx6tpbkeoe', 'u2nocthlry', 'vkg9dibqrr', 'vxuxg9belh']","['Obviously the racism and revanchism was always there, harnessed against Dinkins and the Black community. But going… https://t.co/Drl8g0wcaU', 'I dont know if you are fully understanding systematic racism if you blaming 2 black people for America’s problems.… https://t.co/xBHxxNplmR', 'I dont know if you are fully understanding systematic racism if you’re blaming 2 Black people for all of America’s… https://t.co/dLQ8xGvbx2']"
194,193,34,193_art_artists_artist_sakimichan,"['art', 'artists', 'artist', 'sakimichan', 'sculpture', 'canvas', 'museum', 'arts', 'requiemcoffee', 'dljbvkfnyg']","['When they give you a canvas, you shout your art out!! #BlackLivesMatter #blm \n@requiemcoffee \nArtists\nsavethepanduh… https://t.co/6JBwU2gxwc', 'Pay black artist for their art              Pay black artist for their art.              Pay black artist for their… https://t.co/LqJ6epgeF9', 'I’m not here for soft black art.\nI’m here for WTF Black art with a capital “B”']"
195,194,34,194_scramble_omelette_neck_lose,"['scramble', 'omelette', 'neck', 'lose', 'folded', 'stuck', 'layos', 'refuck', 'hit', 'lifts']","['You stuck yo neck out for the wrong nigga now you bout to lose it.', 'you better scramble like a egg before you get folded like a omelette nigga', 'You better scramble outta here before you get folded like a omelette nigga']"
196,195,34,195_spacex_nasa_space_mars,"['spacex', 'nasa', 'space', 'mars', 'launchamerica', 'dragon', 'launch', 'elonmusk', 'docking', 'perseverance']","['Goods day to leave US &amp; head far away into space #SpaceX #protest', 'From yesterday’s protest at SpaceX @ SpaceX https://t.co/UeN1sFx8Y1', '@elonmusk there is a protest in front of @spaceX do you know why?']"
197,196,34,196_facetatttttt_ecmtjagqtm_almightysauce__incelhamptn,"['facetatttttt', 'ecmtjagqtm', 'almightysauce_', 'incelhamptn', 'stewardesschick', 'lulujacqline', 'bagty_', 'stalks', 'wishin', 'avis']","['@BAGTY_ I been tryna tell these niggas shit easy asl', 'What do the simps identity as lol them niggas jus be havin anime avis we don’t know what race dem niggas is 💀', 'B-tch ima star I got these niggas wishin 😍❄️ https://t.co/ECMTJaGQtM']"
198,197,34,197_mvp_champion_finals_game,"['mvp', 'champion', 'finals', 'game', 'pep', 'games', 'zippsstudiospro', 'cancelo', 'mutoh', 'rafinha']","['im convinced pep sabotaged us this game on purpose, why the fuck were our fullbacks rafinha and juan bernat for thi… https://t.co/atERHmy4m3', 'This nigga gave the reigning Finals MVP 43-17-13 😎🏆 https://t.co/cz6Kpo8Qv0', '@OGKeyy I got a call from mav Carter he told me to tell you that if Bron don’t win finals mvp you gotta run that nigga Adam silver over🚗💨💨💨']"
199,198,34,198_hoppin_hatin_ass_3staxx,"['hoppin', 'hatin', 'ass', '3staxx', 'purpin', 'weirdo', 'damnnnnnn', 'plaques', 'outkast', 'cheddar']","['Hatin ass nigga', 'Dick hoppin clique hoppin ass niggas', 'A nigga should prolly have plaques as Andre 3staxx cus I done been such an OUTKAST Bruh Bruh']"
200,199,33,199_riots_rodney_rioting_brutality,"['riots', 'rodney', 'rioting', 'brutality', 'prompted', 'response', 'proved', 'protesters', 'level', 'terrorism']","['@talamantes_dom Why would this turn into the Rodney King riots tho lmao that had to do with police brutality 😂😂', 'protests and riots are two different things. police brutality is the cause of these riots', '@mitchell_glasco Riots are scary no doubt. But police brutality turned many peaceful protests into riots. I know hu… https://t.co/ZJ5Tz82PpJ']"
201,200,33,200_antiracism_dearsimivalley_risesimivalley_racism,"['antiracism', 'dearsimivalley', 'risesimivalley', 'racism', 'lucha', 'town', 'fzalvm3swn', 'homatav', 'inezrh0awc', 'intere']","['This! Thank you @HomaTav for this spot on article #BlackLivesMatter #antiracism #WhitePrivilege #unityindiversity… https://t.co/o6ekWfFbLG', '#DearSimiValley let’s talk about the racism in our town. Follow @risesimivalley and watch full video here 👉🏻… https://t.co/jxHjWWetje', '#DearSimiValley let’s talk about the racism in our town. Follow @risesimivalley and watch the full video here 👉🏻… https://t.co/jPtpnVtZps']"
202,201,33,201_kang_batag0r_howtodresvvell_racist_biracial,"['kang_batag0r', 'howtodresvvell', 'racist', 'biracial', 'friends', 'daniels68129116', 'motivateddana', 'xwdhxpizec', 'illiganisland', 'pinkferrari1']","[""@findingnemaaa to elaborate: I'm speaking on biracial pertaining to black and white.. Or black and non black.. but… https://t.co/S3fYO6dRSg"", ""@howtodresvvell @kang_batag0r Just because you're not black and say the n word, it doesn't make you a racist actually.\nYour attitude does."", ""@howtodresvvell @kang_batag0r Just because you're not black and say the n word, it doesn't make you a racist actually.\nYour attitude does.""]"
203,202,33,202_beverly_seattle_hills_monica,"['beverly', 'seattle', 'hills', 'monica', 'occupied', 'santa', 'protest', 'intersection', 'rodeo', 'c9t3eqxymt']","['Yeah these protests out here are going left real quick. But Beverly Hills is being well protected though 🤔', 'They’re having people of color board up Beverly Hills. You want to protest? Go protest and gather at Beverly Hills!', '10/17: March on Beverly Hills - protesters occupy an intersection on Rodeo Drive, denouncing recent police killings… https://t.co/JDjIfPQxgy']"
204,203,33,203_bed_prep_morning_prescription,"['bed', 'prep', 'morning', 'prescription', 'drag', 'myself', 'plan', 'shift', 'nqoaffvsbh', 'obsc44h200']","['You can get so much done in the morning once you drag yourself outta bed lol.', 'You can get so much done in the morning once you drag yourself outta bed lol.', 'I might as well drag myself out the bed now']"
205,204,33,204_bitch_bling_authentic_59s,"['bitch', 'bling', 'authentic', '59s', 'brujeria', 'periodd', 'raggy', 'juvie', 'bitches', 'upp']","['no nigga could ever make me mad w a weak bitch especially an all around weak bitch, like i really don’t give a fuck lil bro lmaoo', 'i’m the best bitch my nigga every had periodd 🥰 bro reallly used to fuck wit sum creature lookin bitches before me 😂', 'Goodmorning niggas BLING BLING bitch I feel like Juvie!']"
206,205,33,205_knee_kneel_kneeling_protesters,"['knee', 'kneel', 'kneeling', 'protesters', 'protestors', 'taking', 'sharing', 'videos', 'retweeting', 'take']","['stop sharing and retweeting videos of police kneeling with protesters!! it’s propaganda!!! they kneel then start th… https://t.co/O6mBeBNbzU', 'stop sharing and retweeting videos of police kneeling with protesters!! it’s propaganda!!! they kneel then start th… https://t.co/6g6X9br28Y', 'Why don’t police take a knee when protesters do .watching the protesters kneel and the police stand there armed in… https://t.co/esh4W8at46']"
207,206,33,206_mlkday_montero_mlk_monterochallenge,"['mlkday', 'montero', 'mlk', 'monterochallenge', 'callmebyyourname', 'bgvs', 'cassynoelwhite', 'hot97', 'cmbyn', 'qanon']","['#mlk #MLKDay #BLM https://t.co/JahWbYupo8', 'MONTERO (COVER) @LilNasX #montero\xa0 #callmebyyourname\xa0 bgvs @cassynoelwhite #singer #monterochallenge #lgbt #cmbyn\xa0… https://t.co/nkr4FGemNH', 'MONTERO (COVER) @LilNasX #montero #callmebyyourname bgvs @cassynoelwhite #singer #monterochallenge #lgbt #cmbyn https://t.co/AOkHXzjvpi']"
208,207,32,207_nigerian_nigeria_nigerians_femi,"['nigerian', 'nigeria', 'nigerians', 'femi', 'nigerianmusic', 'indelible', 'lagos', 'singing', 'remains', 'ages']","['Nigerian lives ARE black lives so all of you that have been silent ?? I’m not understanding. At all', 'I have never said this before in my life: but today, I am proud to be black and I am proud to be Nigerian!! 🇳🇬', 'never fucking with a nigerian again.. best dick in life but every toxic.']"
209,208,32,208_privilege_he_diversity_0tjaxc4wct,"['privilege', 'he', 'diversity', '0tjaxc4wct', 'milkteaslutx', '6wufinm15v', 'supascot', 'shayan86', 'mmcaaebefr', 'qrtnvbch0i']","['@4dpmass Yes even though he has had privilege with the Internet and social media he has had Star appeal. He deserve… https://t.co/NWVoWA1NcO', '@chrisshipitv @DianaAward He knows nothing of bias as he grew up with incredible wealth &amp; privilege and all his fri… https://t.co/MmcAaeBEfr', '@SupaScot @elevate_slay @Shayan86 Then I definitely think he needs to be acknowledged. Male privilege is definitely… https://t.co/KgguQspx1d']"
210,209,32,209_shrimp_meal_crab_salmon,"['shrimp', 'meal', 'crab', 'salmon', 'vegan', 'cod', 'lobster', 'seafood', 'prawns', 'fish']","['@alexfeinberg1 Blackened cod from Santa Monica Seafood. In a spicy coconut milk cream sauce with shrimp, spinach, o… https://t.co/yUXt4pVx2j', 'Keep it fun, enjoy the yum!! Book now for any meal prep services!! Pictured here: garlic herb shrimp, grilled sweet… https://t.co/3ie6TJfIQE', 'AYCE Sushi, crab legs, shrimp, chinese food and more!!! https://t.co/uvLosjBu8K']"
211,210,32,210_privilege_ignorance_drunkenoprah_4egmdejjs7,"['privilege', 'ignorance', 'drunkenoprah', '4egmdejjs7', '9gl6f4yhfh', 'aul2oowq3r', 'awed', '1masterofnone', 'reclaimuc', 'mrcolionnoir']","['This is what privilege gets.', 'I think rn we r still viewing privilege as this sort of demerit on our self made “wokeness” report cards and hope i… https://t.co/P7T8dMaxoR', '@catboycomrade @jbrous41 @reclaimuc i can see this from many angles -\ntotally gets people questioning their values… https://t.co/4EGmDeJJs7']"
212,211,32,211_claudeemonet_patrick_penguin_johntalsr,"['claudeemonet', 'patrick', 'penguin', 'johntalsr', 'mike_dean81', 'kamen', 'mom_resist', 'jacksonjacks_', 'inmyleswetrust', 'yesimaaari']","['@frankwillaim234 @ClaudeeMonet Fuck with my nigga frank @ClaudeeMonet bro means business', '@hayallausername patrick bi sir penguin kamen bas u have it worse', '@johntalsr @Danny56Mahn @InMylesWeTrust Its not gonna work! Then yall gey mad when somone is casted as a black pers… https://t.co/25v3udVzeZ']"
213,212,32,212_juice_drinkin_drink_sip,"['juice', 'drinkin', 'drink', 'sip', 'lemon', 'fruit', '20min', 'uea5fp2elk', 'm4lpnjj6h5', 'longbeachkid']","['I still sip kush n orange juice nigga', 'I done turned to a juice making ass nigga', 'this nigga wanted ALL the juice']"
214,213,32,213_2020_cann_ixyzrqh2iw_depends,"['2020', 'cann', 'ixyzrqh2iw', 'depends', '2021', 'year', 'involve', 'ridiculous', 'javonontheprgm', 'trumpliedpeopledied']","['2020 really coming for black people for no reason', '🇺🇸 2020 , are we great yet ?!!!! \nVote Blue No matter who !!!\nMY LIFE  as a black man depends on it!!! \nIf you cann… https://t.co/IXYzrQH2IW', '🇺🇸 2020 , are we great yet ?!!!! \nVote Blue No matter who !!!\nMY LIFE  as a black man depends on it!!! \nIf you cann… https://t.co/IXYzrQH2IW']"
215,214,32,214_beach_beaches_newport_closed,"['beach', 'beaches', 'newport', 'closed', 'lifeguards', 'boarders', 'helicopters', 'mainland', 'zen', 'drone']","['Going to the beach is a privilege that is nowhere remotely as important as safeguarding public health. The beaches… https://t.co/MDqobk2GI2', 'A very short zen moment as a police drone came out with a loudspeaker telling me the beach was closed.  Sigh... @ H… https://t.co/dDcd3FW5Te', 'Newport Beach police up in helicopter announcing the beach is closed. https://t.co/qTuRTHTxso']"
216,215,32,215_school_high_kbgcali_cspan,"['school', 'high', 'kbgcali', 'cspan', 'faggot', 'classmates', 'questioning', 'prep', 'sophomore', 'weekends']","['In high school, I was made fun of for being a fucking loser and watching @cspan on the weekends to prep for speech… https://t.co/BMBAcpWtYZ', 'Des grands garçons comme ça qui tweet sur une pauvre femme , frère j’ai offert une Mansion à ma mère . Elle roule e… https://t.co/2xl1Q4j5vK', 'In high school, I got bullied for being a fucking loser, who watched @cspan on the weekends to prep']"
217,216,31,216_korean_bbq_japanese_talaga,"['korean', 'bbq', 'japanese', 'talaga', 'ako', 'cafe', 'craving', 'tlgxibmixz', '係醬油蟹呀', 'kenniejd']","['I am craving korean bbq 😭', 'Is any korean bbq open ? 👀', 'First time trying korean bbq and i love it 🔥']"
218,217,31,217_men_women_hussle_moms,"['men', 'women', 'hussle', 'moms', 'married', 'single', 'love', '1xt2xrceo2', '1y1n7lgl12', 'taramic18007659']","['@zellieimani White lady here coming in at 8s.  I did give birth to two black kids and I have a huge love with a net… https://t.co/u897Fn8KUe', '@CharleeSMOOVE @amoneeettt we ain’t bout to diss a single black moms making a way for they seed my nigga. Iont know… https://t.co/D7kNy6Yp3b', '@royalglowtv @AshBTheDon Not only black women but all single moms!  I was a single mom, but u know what I did? I sh… https://t.co/IcOSndoVv1']"
219,218,31,218_chino_hills_china_chinatown,"['chino', 'hills', 'china', 'chinatown', 'chinohills', 'brewing', 'wonderful', 'wuhan', 'unrest', 'tomorrow']","['Chino Hills, you’re wonderful! Let’s go on a protest date again tomorrow? #BLM #BlackLivesMatter', 'if you’re going to the chino hills protest today please dm me !', 'if you’re going to the chino hills protest today please dm me 🥰']"
220,219,31,219_california_angeles_los_l7gtdveurb,"['california', 'angeles', 'los', 'l7gtdveurb', 'iamxkaymarie', 'noboundries', 'icqriocx7v', 'n2i5zbfvwe', 'calivibes', 'glrfbz11wk']","['ANYBODY!!! #friends #family #outsiders #insiders #onlookers #dumbasses #bitches #niggas #noboundries @ Los Angeles,… https://t.co/iqTLz1eTIz', 'U always got dat crazy cousin tho @loyaltyhasnoprice love u nigga 💯or nutin #rllnr4life @ Los Angeles, California https://t.co/ULK4L9Khoy', 'Now this nigga all mad and shit!! #ohwell #sofuckinwhat #nowimabitch @ Los Angeles, California https://t.co/TVf1OPD6r7']"
